Part Number,Series,Description,Price,Discount
207-1331/60493338,,"Gelbox for 221 and 2773 12AWG, Blister",$5.0441,
207-1332/60493339,,"Gelbox for 221 and 2773 12AWG, Blister",$6.0506,
207-1333/60493341,,"Gelbox for 221 and 2773 12AWG, Blister",$7.4505,
207-1372,,"Gelbox for 221 Inline, Order in multiples of 4",$7.5083,
207-1373,,Gelbox for 221 Inline - Order in multiples of 4,$8.0520,
207-1431/60489010,,"Gelbox for 221 10AWG, Blister",$7.2306,
207-1432/60489011,,"Gelbox for 221 10AWG, Blister",$8.3297,
207-1433/60489012,,"Gelbox for 221 10AWG, Blister",$9.6370,
209-501,,WSB Quick marking system,$3.9265,
209-701,,WSB Quick marking system,$3.9265,
210-112,,Steel carrier rail,$8.7307,
210-197,,Steel carrier rail; 35 x 15 mm; 1.5 mm thick; 2; m long; slotted; similar to EN 60715,$17.0990,
210-648,,Operating tool; Blade: 2.5 x 0.4 mm; with a; partially insulated shaft; angled; short,$6.5877,
210-658,,Operating tool,$4.3114,
210-720,,Operating tool; Blade: 3.5 x 0.5 mm; with a; partially insulated shaft,$6.2483,
210-721,,Operating tool; Blade: 5.5 x 0.8 mm; with a; partially insulated shaft,$10.8724,
221-510,,221 LEVER-NUTS® mounting carrier; DIN rail; mounting/screw mounting; orange,$1.0333,
248-501,,Miniature WSB Quick marking system,$3.6493,
249-116,,Screwless end stop,$0.6931,
282-333,,End plate; 2 mm thick,$0.7142,
282-334,,End plate; 2 mm thick; gray,$0.7142,
282-402,,Adjacent jumper; insulated; Nominal current; 41 A,$0.7600,
282-696,,2-conductor automotive fuse tb,$5.0812,
713-1108,,1-conductor female plug,$8.4073,
713-1408,,"THT male header, 2-row",$2.7254,
721-102/026-000,,1-conductor female plug,$1.1242,
721-162/001-000,,THT male header,$0.4311,
721-462/001-000,,THT male header,$0.4311,
721-602,,1-conductor male connector,$1.4782,
734-102,,1-conductor female plug,$1.1547,
734-127,,Strain relief plate,$0.2772,
788-113,,Comb-style jumper bar; 2-way; insulated,$0.7405,
788-303,,Relay socket with relay and status,$11.8107,
788-304,,Relay socket with relay and status,$11.8107,
788-312,,Relay socket with relay and status,$13.1349,
793-4501,,WMB Multiple marking system,$3.9265,
793-501,,WMB Multiple marking system,$3.9265,
858-100,,Relay socket for industrial relays,$7.7448,
858-110,,Holding bracket for industrial relay,$0.4466,
858-354,,Socket with industrial relay,$19.7085,
890-1761,,"h-distribution connector 3-pole Cod. B, gray",$6.2372,
890-243,,Socket,$2.0789,
890-253,,Plug,$1.8787,
890-623,,"Mounting plate 3-pole, black",$0.3248,
2000-402,,TOPJOB®S jumper; for 2000 series; insulated;; 2-way; light-gray,$0.2541,
2001-1402,,TOPJOB®S feedthrough terminal block; rail; mount; 4-conductor; 4.2 mm wide; orange,$0.9856,
2001-402,,TOPJOB®S jumper; for 2001 series; insulated;; 2-way; light-gray,$0.2541,
2001-403,,TOPJOB®S jumper; for 2001 series; insulated;; 3-way; light-gray,$0.4928,
2001-438,,TOPJOB®S jumper; for 2001 series; insulated;; 2-way (1-8); light-gray,$1.9248,
2002-116,,MULTIFUNCTION TOOL F.COMPONENT; PLUG,$1.3858,
2002-1301,,TOPJOB®S feedthrough terminal block; rail; mount; 3-conductor; 5.2 mm wide; gray,$0.9393,
2002-1307,,TOPJOB®S ground terminal block; rail mount;; 3-conductor; 5.2 mm wide; green-yellow,$3.3567,
2002-1401,,TOPJOB®S feedthrough terminal block; rail; mount; 3-conductor; 5.2 mm wide; gray,$1.1369,
2002-1402,,TOPJOB®S feedthrough terminal block; rail; mount; 3-conductor; 5.2 mm wide; orange,$1.2780,
2002-1403,,TOPJOB®S feedthrough terminal block; rail; mount; 3-conductor; 5.2 mm wide; red,$1.2780,
2002-1404,,TOPJOB®S feedthrough terminal block; rail; mount; 3-conductor; 5.2 mm wide; blue,$1.2780,
2002-1405,,TOPJOB®S feedthrough terminal block; rail; mount; 3-conductor; 5.2 mm wide; black,$1.2780,
2002-1406,,TOPJOB®S feedthrough terminal block; rail; mount; 3-conductor; 5.2 mm wide; yellow,$1.2780,
2002-1407,,TOPJOB®S ground terminal block; rail mount;; 3-conductor; 5.2 mm wide; green-yellow,$3.8341,
2002-1492,,End and intermediate plate; 0.8 mm thick;; orange,$0.5058,
2002-1661,,2 COND TJS CARRIER BLOCK GREY,$2.2944,
2002-1691,,TOPJOB S END-INTERMEDIATE PLATE,$0.4158,
2002-2214/1000-489,,Double-deck diode terminal block,$10.1498,
2002-402,,TOPJOB®S jumper; for 2002 series; insulated;; 2-way; light-gray,$0.2926,
2002-402/000-005,,Push-in type jumper bar; insulated; 2-way;; Nominal current 25 A; red,$0.4254,
2002-402/000-006,,Push-in type jumper bar; insulated; 2-way;; Nominal current 25 A; blue,$0.4505,
2002-810,,Empty component plug housing; 10.4 mm; wide; 2-pole; Type 2; gray,$1.7554,
2004-402,,Push-in type jumper bar,$0.3234,
2006-1301,,3-conductor through terminal block,$2.0481,
2006-1307,,3-conductor ground terminal block,$4.9735,
2006-1307,,3-conductor ground terminal block,$4.9735,
2006-1391,,End and intermediate plate,$0.5852,
2006-1681,,2-cond. fuse tb for mini-auto.,$7.1138,
2006-1691,,End and intermediate plate,$0.4466,
2006-1692,,End and intermediate plate; 1 mm thick; orange,$0.6757,
2006-402,,Push-in type jumper bar,$0.4466,
2006-499,,Step-down jumper,$0.9393,
2009-110,,Marking strips,$155.1023,
2009-114,,WMB-Inline; for Smart Printer; on reel;; stretchable 4 - 4.2 mm; plain; snap-on type;,$64.6248,
2091-1104,,Female connector with gripping plate,$1.3241,
51190954,,CON000003185003,$88.5617,
51312131,,INIT SPL CON3185001 (Order 1-99),$57.6664,
51312131,,*Minimum order quantity of: 100 pieces.*; INIT SPL CON3185001,$53.2438,
60255515,,CON100000003023 Custom Rail,$84.5939,
60298009,,CON3185025,$166.8669,
60336229,,Siemens SPL,$60.2385,
60538060,,Custom Assembly *Minimum order quantity 10; pieces,$128.4155,
60353971,,CON000003185028 (Order 1-99),$28.9352,
60353971,,*Minimum order quantity of: 100 pieces.*; CON000003185028,$26.7081,
60361265,,CON000003185035 (Order 1-99),$38.7056,
60361265,,*Minimum order quantity of: 100 pieces.*; CON000003185035,$35.7103,
60361267,,CON000003185036 (Order 1-99),$162.7421,
60361267,,*Minimum order quantity of: 100 pieces.*; CON000003185036,$150.2274,
60380731,,CON00003185039 (Order 1-99),$20.1055,
60380731,,*Minimum order quantity of: 100 pieces.*; CON00003185039,$19.5724,
60382715,,CON100000003-029 (Order 1-99),$37.4039,
60382715,,*Minimum order quantity of: 100 pieces.*; CON100000003-029,$34.5183,
60387715,,"3:1 POLYOLEFIN HEATSHRINK 1/4""",$36.5632,
60415775,,CON000003185-040,$163.0560,
60416796,,CON000003185-054,$82.4925,
60425749,,*Minimum order quantity of: 10 pieces.*; Custom Rail Assembly;,$23.4156,
60429875,,Custom Rail Assembly,$118.0927,
60434145,,Custom Rail Addembly,$212.0155,
60474018,,*Minimum order quantity of: 10 pieces.*; CON00000318066,$107.4408,
60484943,,*Minimum order quantity of: 5 pieces.*; INIT p/n CON000003185064,$175.4069,
60486065,,INIT Custom Rail Assy,$165.0063,
60508176,,*Minimum order quantity of: 5 pieces.*; Fully assembled rail,$154.5613,
60508339,,*Minimum order quantity of: 10 pieces.*; CON000003185-067,$117.1242,
60523137,,Custom Rail Assembly,$163.7008,
60536094,,Custom Rail Assembly; Minimum Order; Quantity of 50 pieces,$26.8168,
60544873,,Custom Rail Assembly; Minimum Order; Quantity of 10 pieces,$61.3733,
60545179,,Custom Rail Assembly; Minimum Order; Quantity of 50 pieces,$32.1270,
delivery.,,,$Failure,
